episode,global_steps,return,length,elapsed_sec
604,19430,1.1544487859086559,100,10349.86
605,19453,4.42683899343807,23,10362.49
606,19476,3.087652840581256,23,10374.57
607,19518,3.6677504638019456,42,10399.67
608,19618,3.0219554348158364,100,10428.99
609,19637,3.0197819353706077,19,10436.81
610,19653,3.1299469056314417,16,10443.5
611,19672,3.0211076163419732,19,10450.99
612,19699,3.820690376729875,27,10466.24
613,19721,3.9581327980063863,22,10479.99
614,19747,3.7892262852447836,26,10492.28
615,19773,4.3273894081286635,26,10507.84
616,19792,3.021915424850173,19,10515.31
617,19808,3.132270792225908,16,10522.91
618,19859,4.178302613716407,51,10551.9
619,19903,4.032658134981986,44,10571.02
620,19928,3.7186055937900524,25,10584.97
621,19955,4.29510589503491,27,10600.79
622,19973,3.0840525208358707,18,10608.83
